gene,logFC,avg_expr,pvalue,padj,neg_log10_p,significant
PDZD8,0.65317416,3.111434,1.1483525835967098e-16,3.3227794664256654e-16,15.939924748174347,False
H2AX,1.030879,5.1968827,1.149531789395413e-16,3.32426775417991e-16,15.93947901415711,True
C20orf96,0.504611,2.4921944,1.1718267756702643e-16,3.3867825886423823e-16,15.931136582798043,False
TMEM54,-1.1603022,7.138847,1.2030875929258322e-16,3.475123029826205e-16,15.91970275192908,True
SNCG,-1.4541631,1.9399176,1.2157928395569975e-16,3.509794571469392e-16,15.915140418732497,True
IGSF3,-0.99991775,2.6861248,1.2263800284940663e-16,3.5383151427988063e-16,15.911374930548858,False
RPL30,0.7330756,6.1283474,1.2774327527730725e-16,3.683485446289136e-16,15.893661952929671,False
IFFO2,0.6936846,2.163904,1.2898900204167877e-16,3.717262306676622e-16,15.88944731726841,False
CCL13,-2.3013365,2.6124983,1.3870522596645954e-16,3.9949661856699176e-16,15.857907175800257,True
LYPD6B,0.5793901,0.80462337,1.399030660508568e-16,4.027146403306183e-16,15.854172767606977,False
ITPKA,-1.390897,3.4124813,1.4073346433147826e-16,4.0487187667283735e-16,15.851602621495928,True
PBX1,-0.9557407,1.9538013,1.4125502520572118e-16,4.061386578657883e-16,15.849996093028563,False
ENSG00000284651,0.51094013,0.40555313,1.427636381815984e-16,4.102403396022942e-16,15.845382393035939,False
LRRC31,-1.3796062,2.864432,1.4508608769322248e-16,4.1667457694779573e-16,15.838374230069089,True
FGFR4,1.0051489,3.997005,1.5249889826126765e-16,4.377121075237303e-16,15.816733293896084,True
ZNF703,0.9381795,5.7048044,1.5273942792202887e-16,4.38150969368987e-16,15.81604884035887,False
TM4SF1,1.173801,4.7380686,1.5625507864527817e-16,4.479790098775177e-16,15.806165858196524,True
SNORD19C,1.0266542,1.3973885,1.6064932669926857e-16,4.603132570179615e-16,15.794121090289277,True
ENSG00000239719,0.5875267,1.1087103,1.632508896321305e-16,4.674996839408089e-16,15.787144443368218,False
CD27,-1.272439,1.8611248,1.6335477526778806e-16,4.675294083222326e-16,15.786868165491345,True
VIPR1,-1.4125605,2.9917498,1.675372968127485e-16,4.792256773820038e-16,15.77588849610848,True
TMEM123,0.7580476,6.017003,1.6824359609331526e-16,4.809708293119361e-16,15.774061457471092,False
B3GNT8,-1.3631582,3.7528024,1.7062853970482596e-16,4.875101134423599e-16,15.767948326042552,True
SNORD69,0.98643786,0.9960301,1.7450413423312033e-16,4.982984986668198e-16,15.758194279573786,False
IFT52,0.5236683,3.5691342,1.75956676858496e-16,5.021594659203653e-16,15.754594248761816,False
ZSCAN18,-0.66942596,1.0786799,1.8224469482194556e-16,5.198080285851271e-16,15.739345105221727,False
CSF1R,-1.2821722,3.2747233,1.8284620462270745e-16,5.212263529723702e-16,15.737914049974677,True
JAML,-0.9575583,1.4249799,1.8911914396277212e-16,5.388009799509177e-16,15.723264506604073,False
IGLV1-36,-2.3147702,2.8524973,1.9438345612838428e-16,5.534836450124837e-16,15.711340700407149,True
PALM,-1.2865223,1.7512968,1.9488489925952179e-16,5.545956154226574e-16,15.710221811073948,True
FBXL16,0.49080068,1.1375269,1.987741082072921e-16,5.65341604685131e-16,15.701640186312035,False
CDK10,0.7278688,3.169445,2.0360240761770094e-16,5.787447629838003e-16,15.691217090731646,False
CNN3-DT,-0.76205635,1.6618059,2.0488950051505054e-16,5.820724446450299e-16,15.688480296285036,False
KBTBD11,-0.9887614,2.9378614,2.0638155900813203e-16,5.85978304963464e-16,15.685329111205718,False
RNU6-850P,0.9996362,1.2368745,2.1026278192816632e-16,5.966594265838999e-16,15.677237593855185,False
ENSG00000232640,0.5381402,1.462079,2.1319093708103863e-16,6.04625459673961e-16,15.671231261462324,False
AP5Z1,0.47210622,2.6764712,2.1445564441594694e-16,6.078674728343167e-16,15.668662518758367,False
NCKAP1L,-0.86889005,1.7537874,2.2623577840946997e-16,6.408945564007648e-16,15.645438711801944,False
RPL28,0.772305,6.990694,2.3960568916476936e-16,6.783853034110118e-16,15.62050287433142,False
SLC6A9,-1.2354801,2.6445193,2.4884534077332453e-16,7.041464085266681e-16,15.604070486305845,True
SMAD7,-0.81564355,3.0162325,2.518814523041648e-16,7.123344239371176e-16,15.598803811297136,False
PTGS1,-2.0857606,2.840832,2.540256507402758e-16,7.179922293393889e-16,15.595122427425341,True
LINC01752,-1.0208476,1.1924136,2.629220090635389e-16,7.42717539727511e-16,15.580173057808546,True
ENSG00000265298,0.9529635,2.1439466,2.784699128779978e-16,7.861939945736811e-16,15.555221721053725,False
PTMAP9,0.83108103,2.0370343,2.9073782192122125e-16,8.203663146761322e-16,15.536498467427302,False
SRI,-1.383894,5.7454877,2.917744471387998e-16,8.228269800868579e-16,15.534952745179188,True
RETREG1,-1.177876,3.348191,2.9219130384999456e-16,8.235380604565799e-16,15.534332713611034,True
SH3BGRL2,-0.96164274,5.196308,2.931803640633028e-16,8.258601804600079e-16,15.532865120199139,False
